feature,feature_full,plays_mean,plays_median,rest_mean,rest_median,mean_diff,cohens_d,abs_cohens_d,u_statistic,p_value_raw,n_plays,n_rest,plays_higher,p_value_fdr,significant_fdr_005,significant_fdr_001,significant_raw_005,feature_name,consensus_weight,rank
DEFENSIVE_IMPECT_SCORE_PACKING,mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.2534630155315833,0.2514411773333333,0.23113091432439445,0.23012366751666663,0.022332101207188843,0.3925931838667527,0.3925931838667527,37867.0,4.446534276603105e-06,99,594,True,0.00012005642546828385,True,True,True,DEFENSIVE_IMPECT_SCORE_PACKING,0.063762059954754,5
RATIO_PASSING_ACCURACY,mean_RATIO_PASSING_ACCURACY,0.7844096555938778,0.8009325863333334,0.761755674718907,0.7714639235338523,0.022653980874970725,0.28121333232431606,0.28121333232431606,35267.0,0.0014752796775006154,99,594,True,0.00949519070037922,True,True,True,RATIO_PASSING_ACCURACY,0.0439988543346362,7
IMPECT_SCORE_WITHOUT_GOALS_PACKING,mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.3528989200503067,0.3438638748913044,0.32276083212280465,0.3215921747369058,0.030138087927502055,0.38624093707468404,0.38624093707468404,35139.0,0.0018703762388047715,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.0305120064765042,13
PASS_COMPLETION_OVER_EXPECTED,mean_PASS_COMPLETION_OVER_EXPECTED,0.01302476007437906,0.02057397453,-0.005504745783895551,0.0056289041533613,0.018529505858274613,0.2873002234241627,0.2873002234241627,35129.0,0.0019049034672748261,99,594,True,0.00949519070037922,True,True,True,PASS_COMPLETION_OVER_EXPECTED,0.0223356612208884,19
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.3529060420838994,0.3438638748913044,0.32285231538723996,0.3215921747369058,0.030053726696659455,0.38518097501592585,0.38518097501592585,35112.0,0.0019652262572864725,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.0219083212254748,20
IMPECT_SCORE_PACKING,mean_IMPECT_SCORE_PACKING,0.3528989200503067,0.3438638748913044,0.3229852774897696,0.3218547062518768,0.029913642560537135,0.38363666491417453,0.38363666491417453,35073.0,0.002110042377862049,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_PACKING,0.023304067552738,18
TOTAL_TOUCHES,mean_TOTAL_TOUCHES,31.137761269292902,30.99050752777778,28.67062704921202,28.363523573200993,2.467134220080883,0.3796126791597137,0.3796126791597137,34943.5,0.0026639338725214655,99,594,True,0.010275173508297082,True,False,True,TOTAL_TOUCHES,0.0378530640136705,9
GK_SUCCESSFUL_LAUNCHES_PERCENT,mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.4181875991203057,0.4237633394117647,0.39445258499038244,0.3980253387289562,0.023735014129923238,0.24486895268040762,0.24486895268040762,34114.0,0.010640566818189342,99,594,True,0.03591191301138903,True,False,True,GK_SUCCESSFUL_LAUNCHES_PERCENT,0.0257230272173248,16
GK_CAUGHT_HIGH_BALLS_PERCENT,mean_GK_CAUGHT_HIGH_BALLS_PERCENT,0.10291042761782644,0.0967248035897435,0.09117249823176758,0.0906023907328445,0.01173792938605886,0.3395535482169871,0.3395535482169871,33735.5,0.01882148904047894,99,594,True,0.05646446712143682,False,False,True,GK_CAUGHT_HIGH_BALLS_PERCENT,0.0468635062572118,6
LOW_PASS_SCORE,mean_LOW_PASS_SCORE,0.15332553154535597,0.150222158,0.1446247630564612,0.1426390779398496,0.008700768488894783,0.22687029116147134,0.22687029116147134,33517.0,0.025710339265527345,99,594,True,0.06607803612595245,False,False,True,LOW_PASS_SCORE,0.0262629868593321,14
