rank,kpi_name,label,consensus_weight,direction,p_value,effect_size,cv,tier,xgb,rf,perm,mi
42,BALL_WIN_NUMBER_IN_LANE_RIGHT_HALF_SPACE,BALL_WIN_NUMBER_IN_LANE_RIGHT_HALF_SPACE,0.0033860718047679923,higher,0.0864877129389465,0.20710700292240172,0.1881942723189522,Tier 1 (Reliable),0.0021239265,0.0022567801076199294,0.0,0.02669973681428317
43,BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.003379024613730696,higher,0.03239782919387386,0.2935024940044229,0.39780659613593733,Tier 1 (Reliable),0.0011652678,0.0028293230212781155,0.0,0.020306317809918095
44,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_WR,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_WR,0.003376953427489369,higher,0.24146239067076658,0.1731642630497835,0.27127504814827874,Tier 1 (Reliable),0.0019118893,0.002921459090355124,0.0,0.028625605219198214
45,age,age,0.003324343614246573,lower,0.05769719338875376,0.27216684186385676,0.1789703127477998,Tier 1 (Reliable),0.0021856765,0.004975053419375342,0.0,0.010597560961954633
46,PXT_DRIBBLE_REG,Regressive dribbles,0.0032457435509919887,lower,0.07719242525349174,0.3581049441216013,0.48135615101608975,Tier 1 (Reliable),0.003791513,0.0016504505670581445,0.0,0.004596416197248487
47,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,0.0032203206483267105,higher,0.04676259806450395,0.35303732750286443,0.4164127782266635,Tier 1 (Reliable),9.137155e-05,0.0015140312933565145,0.0,0.020029795493173408
48,CONCEDED_PACKING_XG,Packing non-shot-based xG,0.0032170273786639764,lower,0.04762457579909316,0.21646550583181368,0.27701986741042595,Tier 1 (Reliable),0.004029191,0.0035641162522132073,0.0,0.010917735148785468
49,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_AM,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_AM,0.0032168522365972393,higher,0.05780550550809793,0.30086132763087753,0.18770252977097798,Tier 1 (Reliable),0.0018011912,0.0040538677854542945,0.0,0.010242607599829423
50,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_INTERCEPTION,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_INTERCEPTION,0.003193335896669147,lower,0.017136918797060467,0.3257458288777445,0.5860100893380314,Tier 2 (Moderate),0.0024452778,0.0025506886812211678,0.0,0.009437247804241489
51,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,0.0031751083967432687,lower,0.004355900879098963,0.30812550678037254,0.1371702900287941,Tier 1 (Reliable),0.0009429063,0.002323567376041914,0.0,0.017598054153897147
52,SUCCESSFUL_PASSES_TO_PACKING_ZONE_FBL,SUCCESSFUL_PASSES_TO_PACKING_ZONE_FBL,0.003135869927115933,higher,0.2474894492748515,0.15680457679225066,0.2953883119995834,Tier 1 (Reliable),0.005169133,0.0021815276670764418,0.0,0.014865882202581338
53,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,0.0031206153561912334,higher,0.08521997474904366,0.3205353912855705,0.25618252588464063,Tier 1 (Reliable),0.00054899335,0.0022511613932706125,0.0,0.01721089373083662
54,BALL_WIN_REMOVED_OPPONENTS_FROM_PITCH_POSITION_MIDDLE_THIRD,BALL_WIN_REMOVED_OPPONENTS_FROM_PITCH_POSITION_MIDDLE_THIRD,0.0030707338870316282,lower,0.3753472209983051,0.17581301479572176,0.46690179676463966,Tier 1 (Reliable),0.00032090908,0.001242707200817865,0.0,0.03436610180332167
55,BYPASSED_OPPONENTS_TO_LANE_LEFT_WING,BYPASSED_OPPONENTS_TO_LANE_LEFT_WING,0.0030645603094402083,higher,0.03794777880843457,0.2704618680493966,0.31734089553257555,Tier 1 (Reliable),0.0009029927,0.003729651634341465,0.0,0.015026199640280291
