playerId,name,age,status,origin_team,origin_comp,origin_median,n_matches,scouting_score,model_score,performance_score,model_probability,top3_strengths
68015,Sullivan Péan,26.0,STAYED,FC Villefranche-Beaujolais,france_3,0.513178375,53,44.992784992785,14.574314574314574,90.62049062049063,0.011626317,FOOT_USAGE_RATIO_LEFT (99%) | FOOT_USAGE_RATIO_RIGHT (99%) | RATIO_PASSING_ACCURACY (59%)
96962,Philipp Schulze,23.0,STAYED,SC Verl,bundesliga_3,0.557671055,79,44.96392496392497,38.095238095238095,55.266955266955264,0.03143566,DEFENSIVE_IMPECT_SCORE_PACKING (82%) | RATIO_PASSING_ACCURACY (93%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (43%)
168453,Ron Meyer,28.0,STAYED,FC Wegberg-Beeck,regionalliga_west,0.37057419,62,44.58874458874459,29.58152958152958,67.09956709956711,0.022968102,FOOT_USAGE_RATIO_LEFT (87%) | FOOT_USAGE_RATIO_RIGHT (88%) | DEFENSIVE_IMPECT_SCORE_PACKING (66%)
115946,Nadav Zamir,24.0,STAYED,Hapoel Jerusalem,ligat_haal,0.5,51,44.0981240981241,46.17604617604618,40.98124098124098,0.044715736,DEFENSIVE_IMPECT_SCORE_PACKING (80%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO (91%) | FOOT_USAGE_RATIO_LEFT (32%)
38255,Andriy Kozhukhar,26.0,STAYED,NK Veres Rivne,premier_liga_ukraine,0.401354885,27,44.098124098124096,66.95526695526695,9.812409812409813,0.11399181,FOOT_USAGE_RATIO_LEFT (70%) | FOOT_USAGE_RATIO_RIGHT (70%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO (77%)
814,Balázs Megyeri,35.0,STAYED,Debreceni VSC,nemzeti_bajnoksag,0.53889144,41,44.069264069264065,30.735930735930733,64.06926406926407,0.023498815,FOOT_USAGE_RATIO_LEFT (68%) | FOOT_USAGE_RATIO_RIGHT (68%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (79%)
86239,Toni Silic,21.0,STAYED,HNK Hajduk Split,hnl_1,0.507882825,14,44.04040404040404,41.55844155844156,47.76334776334777,0.036603328,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (98%) | RATIO_PASSING_ACCURACY (63%) | DEFENSIVE_IMPECT_SCORE_PACKING (51%)
32227,Emil Ødegaard,26.0,STAYED,KFUM-Kameratene Oslo,eliteserien,0.5777367099999999,54,43.92496392496393,32.900432900432904,60.46176046176046,0.025139283,DEFENSIVE_IMPECT_SCORE_PACKING (88%) | FOOT_USAGE_RATIO_LEFT (66%) | FOOT_USAGE_RATIO_RIGHT (67%)
45492,Jokin Ezkieta,29.0,STAYED,Racing Santander,laliga2,0.6,67,43.52092352092352,27.417027417027416,67.67676767676768,0.02134349,FOOT_USAGE_RATIO_LEFT (68%) | DEFENSIVE_IMPECT_SCORE_PACKING (66%) | FOOT_USAGE_RATIO_RIGHT (68%)
61813,Kyeong-min Kim,34.0,STAYED,Gwangju FC,k_league_1,0.55,69,43.29004329004329,23.665223665223664,72.72727272727273,0.01815629,FOOT_USAGE_RATIO_LEFT (70%) | FOOT_USAGE_RATIO_RIGHT (70%) | DEFENSIVE_IMPECT_SCORE_PACKING (63%)
145173,Luis Idjakovic,24.0,BENCH,FC-Astoria Walldorf,regionalliga_suedwest,0.405667995,9,42.770562770562776,62.62626262626263,12.987012987012985,0.08678166,RATIO_PASSING_ACCURACY (72%) | FOOT_USAGE_RATIO_LEFT (50%) | FOOT_USAGE_RATIO_RIGHT (50%)
13144,Bence Gundel-Takács,27.0,STAYED,Zalaegerszegi TE FC,nemzeti_bajnoksag,0.53889144,41,42.68398268398268,39.39393939393939,47.61904761904761,0.03322396,DEFENSIVE_IMPECT_SCORE_PACKING (73%) | GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (82%) | DIAGONAL_PASS_SCORE (82%)
44255,Nikola Mirkovic,34.0,STAYED,FK Novi Pazar,super_liga_srbije,0.34917809,63,42.45310245310245,52.38095238095239,27.56132756132756,0.059372753,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO (70%) | DEFENSIVE_IMPECT_SCORE_PACKING (42%) | GOAL_KICK_SCORE (83%)
