feature,mean_value,mean_match_std,coeff_variation
FOOT_USAGE_RATIO_RIGHT,0.7756971524781737,0.08392698555509788,0.10819555710236978
RATIO_PASSING_ACCURACY,0.7640788495270635,0.13112031374859595,0.1716057365411365
TOTAL_TOUCHES,28.916932110094855,7.612073523164834,0.2632393192397983
FOOT_USAGE_RATIO_LEFT,0.2243028520867437,0.08392698697653596,0.3741681668143891
GOAL_KICK_SCORE,0.1787133437190134,0.07461958498026246,0.4175378481955158
LOW_PASS_SCORE,0.1449152725456085,0.07639847417709104,0.5271940826874995
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.32609817093771304,0.1788920792310671,0.5485835100413264
IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.3260138736323528,0.17886192490887826,0.5486328631234314
IMPECT_SCORE_PACKING,0.32621803986202685,0.1791472870041369,0.5491642555387397
GK_SUCCESSFUL_LAUNCHES_PERCENT,0.40071660863741493,0.23154519837501122,0.5778278049476181
DEFENSIVE_IMPECT_SCORE_PACKING,0.23252395224726966,0.14508222385256106,0.623945285852867
GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.13342058495089698,0.10452105114843764,0.7833952398492685
PROGRESSION_SCORE_PACKING,0.1007269446995655,0.09239478281520587,0.9172797119061671
GK_CAUGHT_HIGH_BALLS_PERCENT,0.09337449620526,0.08922890945566993,0.9556025797400067
OFFENSIVE_IMPECT_SCORE_PACKING,0.0936940874961,0.09412764966137134,1.0046274228914325
GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.9542416817512129,1.0230071057736703,1.0720629011889942
DIAGONAL_PASS_SCORE,0.10247822923697082,0.17958263728934895,1.7523979349221752
GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.20429805055130795,0.6735538135413217,3.2969174777914176
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.1408117223525808,0.580536231003079,4.122783396892659
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.07467396184923307,0.41337454595984313,5.535725381685888
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.023113716733427166,0.2950538622593814,12.765314452118085
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.016534132417057434,0.2220849535214736,13.431908486009203
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.018396220190472094,0.2569578513545139,13.967969979376491
GK_PREVENTED_GOALS_TOTAL_SHOT_XG,-0.018978833802809132,1.0109966859069581,53.26969488279709
PASS_COMPLETION_OVER_EXPECTED,-0.0018123697757906705,0.1156659367746998,63.82027460386167
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,-0.011842498543400222,0.8429639172054473,71.18125572202226
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.002361046835144277,0.20859609722835568,88.34898745903486
