,Mann-Whitney,XGBoost,Random Forest,Lasso,Boruta,Stability
Mann-Whitney,0.9999999999999998,0.12194722092350342,0.40315472474609076,0.3375813657674451,0.2874633992165715,0.14084472572507012
XGBoost,0.12194722092350342,0.9999999999999998,0.2567691859017815,-0.006441051493133714,0.19171728882447703,0.24257805369316274
Random Forest,0.40315472474609076,0.2567691859017815,1.0,0.11848299638432987,0.4389045027357097,0.20724929825449867
Lasso,0.3375813657674451,-0.006441051493133714,0.11848299638432988,0.9999999999999999,0.09149104705273936,-0.045794643523385595
Boruta,0.2874633992165715,0.191717288824477,0.43890450273570975,0.09149104705273936,1.0,0.3139556475897689
Stability,0.14084472572507012,0.24257805369316274,0.2072492982544987,-0.0457946435233856,0.3139556475897689,0.9999999999999998
