playerId,name,status,age,origin_team,origin_comp,origin_median,origin_matches,raw_probability,scouting_score
30228,Maarten Vandevoordt,PLAYS,24.0,KRC Genk,belgian_pro_league,0.67107149,40,0.1505,51.6
33844,Thomas Dähne,DROPPED,32.0,Holstein Kiel,bundesliga_1,0.82647051,9,0.1351,51.4
31255,Niklas Hedl,STAYED,24.0,SK Rapid Wien,bundesliga_austria,0.6016963049999999,77,0.1513,51.3
65809,Noel Törnqvist,STAYED,24.0,Mjällby AIF,allsvenskan,0.579539565,81,0.0587,51.1
30547,Jedrzej Grobelny,STAYED,24.0,Warta Posen,ekstraklasa,0.6288633,25,0.446,51.0
377,Marwin Hitz,STAYED,38.0,FC Basel 1893,super_league_switzerland,0.6643794000000001,93,0.0996,50.9
105487,Florian Schock,DROPPED,24.0,VfB Stuttgart II,regionalliga_suedwest,0.405667995,1,0.4671,50.7
114827,Elis Bishesari,STAYED,20.0,IFK Göteborg,allsvenskan,0.579539565,37,0.0865,50.6
30947,Sander Tangvik,STAYED,23.0,Rosenborg BK,eliteserien,0.5777367099999999,68,0.0748,50.4
107694,Julius Pünt,STAYED,21.0,SV Meppen,regionalliga_nord,0.26403716,73,0.0688,50.3
49692,Tein Troost,DROPPED,24.0,NAC Breda,keuken_kampioen_divisie,0.433012,10,0.3871,50.1
3970,Christian Früchtl,STAYED,26.0,FK Austria Wien,bundesliga_austria,0.6016963049999999,32,0.2408,50.0
44570,Hillel Konaté,PLAYS,31.0,LB Châteauroux,france_3,0.513178375,26,0.1228,49.9
106537,Muhamed Sahinovic,DROPPED,22.0,Rakow Czestochowa,ekstraklasa,0.6288633,1,0.4329,49.7
2842,Jasper Cillessen,STAYED,36.0,NEC Nijmegen,eredivisie,0.6917069149999999,61,0.2571,49.6
106974,Finn Böhmker,DROPPED,21.0,VfB Stuttgart II,regionalliga_suedwest,0.405667995,6,0.3533,49.4
57130,Nahuel Suárez,STAYED,25.0,CA Progreso,primera_division_paraguay,0.4,29,0.1953,49.3
79697,Yannick Pandor,DROPPED,24.0,US Boulogne,france_3,0.513178375,30,0.0637,49.1
3360,Kamil Grabara,PLAYS,27.0,FC Kopenhagen,superligaen,0.6607162449999999,32,0.2803,49.0
16491,Masaaki Higashiguchi,STAYED,39.0,Gamba Osaka,j1_league,0.614975735,119,0.1106,48.9
51809,Xavier Mous,STAYED,30.0,SC Heerenveen,eredivisie,0.6917069149999999,55,0.4443,48.7
179871,Vukasin Jovanovic,STAYED,18.0,FK Jedinstvo Ub,super_liga_srbije,0.34917809,20,0.1286,48.6
32972,Lucas Hägg Johansson,DROPPED,31.0,Vejle Boldklub,superligaen,0.6607162449999999,1,0.2782,48.4
66789,Justin Bengui,STAYED,20.0,FK Jedinstvo Ub,super_liga_srbije,0.34917809,20,0.1222,48.3
2429,Gaëtan Coucke,STAYED,27.0,KV Mechelen,belgian_pro_league,0.67107149,99,0.1659,48.1
83015,Dennis Gorka,DROPPED,23.0,SV Sandhausen,bundesliga_3,0.557671055,2,0.1746,48.0
112438,Gakuji Ota,STAYED,35.0,Kyoto Sanga,j1_league,0.614975735,59,0.0976,47.9
398,Yann Sommer,STAYED,37.0,Inter Mailand,serie_a,0.82,91,0.2089,47.7
86239,Toni Silic,STAYED,21.0,HNK Hajduk Split,hnl_1,0.507882825,15,0.0873,47.6
444,Frederik Rönnow,STAYED,33.0,1. FC Union Berlin,bundesliga_1,0.82647051,86,0.0828,47.4
51418,Lionel Mpasi-Nzau,BENCH,31.0,Rodez AF,ligue2,0.61397649,20,0.0736,47.3
26934,Julian Krahl,STAYED,26.0,1. FC Kaiserslautern,bundesliga_2,0.710514535,86,0.1077,47.1
42471,Oliver Zelenika,STAYED,32.0,NK Varazdin,hnl_1,0.507882825,89,0.0825,47.0
16521,Seung-gyu Kim,STAYED,35.0,Kashiwa Reysol,j1_league,0.614975735,90,0.0935,46.9
159650,Eduardo Bores,STAYED,23.0,Libertad FC,liga_pro_ecuador,0.4,16,0.0842,46.7
2805,Igor Vekic,STAYED,27.0,Vejle Boldklub,superligaen,0.6607162449999999,54,0.0763,46.6
6322,Diogo Costa,STAYED,26.0,FC Porto,primeira_liga,0.622191505,89,0.1938,46.4
51611,Maxim Deman,DROPPED,24.0,KV Kortrijk,belgian_pro_league,0.67107149,1,0.3047,46.3
19571,Joël Drommel,DROPPED,29.0,FC Twente Enschede,eredivisie,0.6917069149999999,34,0.1234,46.1
3724,Hugo Keto,STAYED,28.0,Sandefjord Fotball,eliteserien,0.5777367099999999,96,0.0571,46.0
162345,Kees Sims,STAYED,22.0,GAIS Göteborg,allsvenskan,0.579539565,15,0.2565,45.9
29789,Sondre Rossbach,STAYED,30.0,Odds BK,eliteserien,0.5777367099999999,72,0.2583,45.7
7758,Yanick van Osch,DROPPED,28.0,Fortuna Sittard,eredivisie,0.6917069149999999,32,0.1058,45.6
43762,Sean McDermott,STAYED,32.0,Kristiansund BK,eliteserien,0.5777367099999999,69,0.1742,45.4
55736,Chang-geun Lee,STAYED,32.0,Daejeon Hana Citizen,k_league_1,0.55,61,0.0485,45.3
167554,Dominik Dewein,STAYED,26.0,FC Memmingen,regionalliga_bayern,0.28719256,41,0.0853,45.1
150322,Guilherme Fernandes,STAYED,24.0,Real Valladolid,laliga2,0.6,27,0.0453,45.0
56408,Tom Hendriks,DROPPED,23.0,Fortuna Sittard,eredivisie,0.6917069149999999,1,0.465,44.9
180348,Robin Wallinder,STAYED,26.0,Östers IF,allsvenskan,0.579539565,30,0.053,44.7
28058,Simon Sluga,DROPPED,32.0,Maccabi Tel Aviv,ligat_haal,0.5,16,0.1975,44.6
1729,Florian Escales,STAYED,30.0,FC Annecy,ligue2,0.61397649,89,0.0858,44.4
145173,Luis Idjakovic,BENCH,24.0,FC-Astoria Walldorf,regionalliga_suedwest,0.405667995,9,0.1728,44.3
160297,Mathys Niflore,STAYED,19.0,USL Dunkerque,ligue2,0.61397649,21,0.165,44.1
38464,Andries Noppert,STAYED,31.0,SC Heerenveen,eredivisie,0.6917069149999999,74,0.052,44.0
66684,Nikola Cavlina,STAYED,23.0,NK Lokomotiva Zagreb,hnl_1,0.507882825,39,0.1038,43.9
13144,Bence Gundel-Takács,STAYED,27.0,Zalaegerszegi TE FC,nemzeti_bajnoksag,0.53889144,54,0.0862,43.7
56228,Joey Houweling,STAYED,25.0,SC Telstar,keuken_kampioen_divisie,0.433012,17,0.1705,43.6
29927,Alexander Schlager,STAYED,30.0,Red Bull Salzburg,bundesliga_austria,0.6016963049999999,69,0.1368,43.4
165490,Ivan Pakholyuk,STAYED,21.0,Kolos Kovalivka,premier_liga_ukraine,0.401354885,44,0.0851,43.3
