method,auc_mean,auc_std
Mann-Whitney,0.6839095870283886,0.03276613622431336
XGBoost,0.7742964527470221,0.031322874914370795
Random Forest,0.7985759638378099,0.012226997870775119
Lasso,0.7741640117242258,0.04151078145701004
Boruta,0.7964579569561991,0.028669252547220938
Stability,0.7982836827862277,0.03869621587404695
CONSENSUS (all 6),0.790256598625177,0.029346928014537428
