feature,plays_median,plays_p25,plays_p75,rest_median,optimal_threshold,threshold_percentile,youden_j,direction
DEFENSIVE_IMPECT_SCORE_PACKING,0.2514411773333333,0.22044519632392684,0.28122332767391306,0.23012366751666663,0.2475209156886956,0.6493506493506493,0.26262626262626254,higher
TOTAL_TOUCHES,30.99050752777778,25.40714285714286,34.90274397058823,28.363523573200993,30.916027764705884,0.6493506493506493,0.19191919191919204,higher
RATIO_PASSING_ACCURACY,0.8009325863333334,0.7540769058888888,0.8367066847826088,0.7714639235338523,0.7737128352173912,0.48917748917748916,0.19360269360269378,higher
IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.3438638748913044,0.2970608424230769,0.3968295618274854,0.3215921747369058,0.34167135894610173,0.6002886002886003,0.17003367003366998,higher
IMPECT_SCORE_PACKING,0.3438638748913044,0.2970608424230769,0.3968295618274854,0.3218547062518768,0.34192469249748486,0.6002886002886003,0.17003367003366998,higher
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.3438638748913044,0.2970608424230769,0.3968295618274854,0.3215921747369058,0.34167135894610173,0.6002886002886003,0.17003367003366998,higher
GK_SUCCESSFUL_LAUNCHES_PERCENT,0.4237633394117647,0.3566746497098515,0.48570720642857135,0.3980253387289562,0.41832086975111105,0.6002886002886003,0.14646464646464663,higher
