playerId,name,age,status,origin_team,origin_comp,origin_median,predicted_proba,predicted_plays,actual_plays
165743,Michael Gelt,24.0,STAYED,SGV Freiberg,regionalliga_suedwest,0.405667995,0.012441074,0,0
168453,Ron Meyer,28.0,STAYED,FC Wegberg-Beeck,regionalliga_west,0.37057419,0.06623029,0,0
29165,Cătălin Căbuz,29.0,STAYED,FC Hermannstadt,superliga_romania,0.456571,0.02370693,0,0
165653,Samuel Zapico,29.0,STAYED,SG Barockstadt Fulda-Lehnerz,regionalliga_suedwest,0.405667995,0.16867127,0,0
83739,Kevin Kratzsch,23.0,STAYED,Rot-Weiß Oberhausen,regionalliga_west,0.37057419,0.038964786,0,0
10132,Felix Dornebusch,31.0,STAYED,Stuttgarter Kickers,regionalliga_suedwest,0.405667995,0.08727019,0,0
51809,Xavier Mous,30.0,STAYED,SC Heerenveen,eredivisie,0.6917069149999999,0.032094434,0,0
45952,Jannick Theißen,28.0,STAYED,1. FC Düren,regionalliga_west,0.37057419,0.09759161,0,0
19763,Giannis Anestis,35.0,STAYED,FC Botosani,superliga_romania,0.456571,0.024650699,0,0
13144,Bence Gundel-Takács,27.0,STAYED,Zalaegerszegi TE FC,nemzeti_bajnoksag,0.53889144,0.001280515,0,0
21529,Erwin Mulder,37.0,STAYED,SC Heerenveen,eredivisie,0.6917069149999999,0.010416529,0,0
116118,Heiko Schiefer,26.0,STAYED,SpVgg Ansbach,regionalliga_bayern,0.28719256,0.31570533,0,0
53775,Tom Kretzschmar,27.0,STAYED,FC 08 Homburg,regionalliga_suedwest,0.405667995,0.02968631,0,0
117330,Sebastian Maier,30.0,STAYED,SpVgg Hankofen-Hailing,regionalliga_bayern,0.28719256,0.7926673,1,0
85070,Radomir Novakovic,26.0,STAYED,SV Eintracht Trier 05,regionalliga_suedwest,0.405667995,0.40748417,0,0
115941,Frenks Orols,25.0,STAYED,BFC Daugavpils,virsliga,0.17575453,0.043856062,0,0
32402,Vincent Friedsam,23.0,STAYED,Würzburger Kickers,regionalliga_bayern,0.28719256,0.35967678,0,0
89762,Lucas Zahaczewski,25.0,STAYED,SpVgg Bayreuth,regionalliga_bayern,0.28719256,0.04021114,0,0
34553,David Lazar,34.0,STAYED,FC Buzău,superliga_romania,0.456571,0.040412724,0,0
52321,Ivor Pandur,25.0,STAYED,Fortuna Sittard,eredivisie,0.6917069149999999,0.1812287,0,0
44973,Matthis Harsman,26.0,STAYED,SV Rödinghausen,regionalliga_west,0.37057419,0.18342596,0,0
117033,Ármin Pécsi,21.0,STAYED,Puskás Akadémia FC,nemzeti_bajnoksag,0.53889144,0.021602513,0,0
27298,Vladyslav Vertey,27.0,STAYED,TSV Aubstadt,regionalliga_bayern,0.28719256,0.1108285,0,0
8669,Sammy Bossut,40.0,STAYED,SV Zulte Waregem,belgian_pro_league,0.67107149,0.0751589,0,0
103709,Steffen Westphal,26.0,STAYED,SV Lippstadt 08,regionalliga_west,0.37057419,0.15937692,0,0
6073,Michael Luyambula,26.0,STAYED,Wuppertaler SV,regionalliga_west,0.37057419,0.04416946,0,0
65872,Karlo Sentic,24.0,STAYED,Diósgyőri VTK,nemzeti_bajnoksag,0.53889144,0.0082585085,0,0
78774,Marian Aioani,26.0,STAYED,FC Rapid Bukarest,superliga_romania,0.456571,0.045532126,0,0
166038,Bence Varga,30.0,STAYED,Kecskeméti TE,nemzeti_bajnoksag,0.53889144,0.0050530774,0,0
89721,Felix Thiel,31.0,STAYED,FV Illertissen,regionalliga_bayern,0.28719256,0.06148174,0,0
103782,Peter Leeuwenburgh,31.0,STAYED,FC Groningen,eredivisie,0.6917069149999999,0.71010894,1,0
167554,Dominik Dewein,26.0,STAYED,FC Memmingen,regionalliga_bayern,0.28719256,0.047216903,0,0
37461,Denis Rusu,35.0,STAYED,AFC Unirea 04 Slobozia,superliga_romania,0.456571,0.00085190934,0,0
