rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
56,BALL_WIN_NUMBER_FROM_PITCH_POSITION_FINAL_THIRD,BALL_WIN_NUMBER_FROM_PITCH_POSITION_FINAL_THIRD,0.0030626448058786266,Contextual (BALL_WIN_NUMBER),higher,0.8865111370327231,0.21449130887277087,0.0030045446,0.0008383866291810386,0.0,0.020847087111210305,,BALL_WIN_NUMBER,Final Third
57,SUCCESSFUL_PASSES_TO_PACKING_ZONE_CM,SUCCESSFUL_PASSES_TO_PACKING_ZONE_CM,0.003053557328044641,Contextual (SUCCESSFUL_PASSES),higher,0.05781870885512344,0.19561129621262807,0.0011405442,0.0019297742936871213,0.0,0.026685075153105586,,SUCCESSFUL_PASSES,Centre-Mid Zone
58,SUCCESSFUL_PASSES_BY_ACTION_HEADER,SUCCESSFUL_PASSES_BY_ACTION_HEADER,0.003013048932641308,Contextual (SUCCESSFUL_PASSES),lower,0.4038183630142598,0.03359651054590759,0.007215584,0.0,0.0,0.02300666562802567,,SUCCESSFUL_PASSES,Header
59,BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,0.003009226013525343,Contextual (BYPASSED_OPPONENTS),lower,0.010981061734184795,0.2814361408119136,0.0010336764,0.004055852685502615,0.0,0.011404825391047924,,BYPASSED_OPPONENTS,Second Ball Phase
60,CONCEDED_SHOT_XG,Shot-based xG,0.003005000014570652,Base KPI,lower,0.012347913928494889,0.26642254221143846,0.0007256662,0.003112733280295883,0.0,0.016947303942876246,"Shot-based expected goals (xG) is a figure that adds a value to all shot attempts. This includes shots from open-play, direct free kicks and penalty kicks. In order to generate a figure that values probability of a goal being scored from a shot, parameters such as shot distance, shot angle, pressure",,
61,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,0.002996281614977613,Contextual (BALL_WIN_NUMBER),higher,0.21851033823370025,0.30192341596594685,0.00071376166,0.001268262969046167,0.0,0.019098096312426094,,BALL_WIN_NUMBER,Opponent Box
62,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_WL,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_WL,0.0029835742963684538,Contextual (BALL_WIN_ADDED_TEAMMATES_DEFEN),lower,0.9950744859582109,0.051245081952252115,0.008353749,0.0030467173290778565,0.0,0.006718869514431791,,BALL_WIN_ADDED_TEAMMATES_DEFENDERS,Wide Left Zone
63,SECOND_BALL_WIN,Second Ball Wins,0.002966368600955155,Base KPI,higher,0.0338502169173424,0.36813327669949636,0.0006774314,0.0017621894803392239,0.0,0.010747583342535894,The win of the 'second ball' phase is achieved if a player manages to bring enough control over the ball (pressure <40).,,
64,DISTANCE_TO_GOAL_COVERED_DRIBBLE,Distance Covered By Dribbles,0.002949779873626954,Base KPI,higher,0.009652943679967675,0.3823828207577069,0.0010477678,0.0022348261746215296,0.0,0.006098563596246054,Difference in the distance to the opposing goal due to the dribble (between release of the ball and reception).,,
65,PXT_DRIBBLE_PRO,Progressive dribbles,0.002936814996822486,Base KPI,higher,0.023528520041021513,0.3477296916490498,0.0023897614,0.0034580145390506866,0.0,0.0,Sub-KPI of PXT_DRIBBLE. The positive change in one´s goal-goal threat through dribbling. Every dribbling that increases your goal-goal threat counts here.,,
