rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
183,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_GOAL_KICK,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_GOAL_KICK,0.0020686408361682723,Contextual (BYPASSED_OPPONENTS_NUMBER),lower,0.15871722857044346,0.1710057987382967,0.0019490581,0.0010253841862658444,0.0,0.010453215361540868,,BYPASSED_OPPONENTS_NUMBER,Goal Kick
184,BYPASSED_OPPONENTS_FROM_LANE_RIGHT_WING,BYPASSED_OPPONENTS_FROM_LANE_RIGHT_WING,0.002067457330572285,Contextual (BYPASSED_OPPONENTS),lower,0.11265822181527642,0.17306781591060416,0.0010362016,0.0029908008491919555,0.0,0.00785022429585358,,BYPASSED_OPPONENTS,Right Wing
185,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_LANE_CENTER,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_LANE_CENTER,0.0020661774065700417,Contextual (BALL_WIN_ADDED_TEAMMATES_DEFEN),higher,0.6844612999938449,0.07263182995396117,0.00035062208,0.0020740908514309277,0.0,0.02317641414226057,,BALL_WIN_ADDED_TEAMMATES_DEFENDERS,Centre
186,SUCCESSFUL_PASSES,Successful Passes,0.0020658519367189416,Base KPI,higher,0.02849981356610454,0.31102919264182066,0.0,0.00039654357108203335,0.0,0.006666740814870398,"A successful pass is any pass that reaches a teammate. In addition, the teammate must have be able to control the ball or the pressure on the teammate must not be too high. E.g. if a striker is given an aerial duel to compete for, this would be counted as a 'neutral ball'.",,
187,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FINAL_THIRD,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FINAL_THIRD,0.0020509363719498227,Contextual (BYPASSED_OPPONENTS),higher,0.17820798062830212,0.13501680671194244,0.0034324392,0.002197349328697998,0.0,0.003982580875908193,,BYPASSED_OPPONENTS,Final Third
188,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_SAVE,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_SAVE,0.0020507881830067456,Contextual (BALL_WIN_REMOVED_OPPONENTS),lower,0.18536642180911422,0.07647542989355931,0.0008218799,0.0015027607325836135,0.0,0.022378525203189614,,BALL_WIN_REMOVED_OPPONENTS,Save
189,OPP_PXT_DRIBBLE,Dribbles (Opponent Threat),0.002044687578436421,Base KPI,higher,0.38548988371331105,0.25922635049748305,0.00087359967,0.002905595024982212,0.0,0.0,"The change in the opponent's goal threat through own dribbling. Progressive dribbling reduces the opponent's goal threat, regressive dribbling and dribbling that ends in a loss of the ball (usually) increases the opponent's goal threat.",,
190,BALL_WIN_NUMBER_BY_ACTION_HEADER,BALL_WIN_NUMBER_BY_ACTION_HEADER,0.0020423357653782275,Contextual (BALL_WIN_NUMBER),higher,0.373860756839165,0.07516003059137266,0.005756872,0.0004619667551729012,0.0,0.005579135685204184,,BALL_WIN_NUMBER,Header
191,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,0.0020391383930259688,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.6822621267004179,0.12644495516427065,0.0034157147,0.0014106948581610074,0.0,0.007097203575290978,,BALL_LOSS_REMOVED_TEAMMATES,Centre-Mid Zone
192,PXT_FOUL,Fouls,0.00203752636761464,Base KPI,lower,0.054247539312833847,0.06942082501647724,0.0020241344,0.003136331506443038,0.0,0.01289555166734413,The change in a team’s goal threat due to committing fouls. The change is calculated by taking the difference between a team’s goal threat before a foul is committed and the subsequent goal threat at the opponent's free kick.,,
193,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OWN_BOX,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OWN_BOX,0.0020362286621901184,Contextual (BALL_WIN_NUMBER),lower,0.384405416301942,0.08323206190278522,0.0004051909,0.001986207885639733,0.0,0.02164792291024642,,BALL_WIN_NUMBER,Own Box
194,BYPASSED_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,BYPASSED_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,0.0020346995098507984,Contextual (BYPASSED_DEFENDERS),lower,0.3929209987636576,0.11253037855566231,0.0036324603,0.0025710032778361795,0.0,0.0038976516845294906,,BYPASSED_DEFENDERS,Second Third
195,PXT_BALL_WIN,Ball wins,0.00203252734458269,Base KPI,lower,0.17083616965169335,0.18724596351570183,0.0002689711,0.0026492565843126265,0.0,0.009996591790115694,The change in a team’s goal threat through ball wins from open play. Calculated from the difference between a team’s goal threat after ball win and the threat of the team before the ball win.,,
196,BALL_LOSS_REMOVED_TEAMMATES_FROM_PITCH_POSITION_MIDDLE_THIRD,BALL_LOSS_REMOVED_TEAMMATES_FROM_PITCH_POSITION_MIDDLE_THIRD,0.002028252965414726,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.06785810783277575,0.20376068140152465,0.0032030225,0.0014955732095056611,0.0,0.0,,BALL_LOSS_REMOVED_TEAMMATES,Second Third
197,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_PITCH_POSITION_FIRST_THIRD,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_PITCH_POSITION_FIRST_THIRD,0.0020266174182462736,Contextual (BALL_WIN_ADDED_TEAMMATES_DEFEN),higher,0.495437960590446,0.12909608317234889,0.00090682815,0.0014926899159230307,0.0,0.016518837899454297,,BALL_WIN_ADDED_TEAMMATES_DEFENDERS,First Third
198,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_OWN_BOX,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_OWN_BOX,0.002014356249776425,Contextual (BYPASSED_OPPONENTS),higher,0.28970028437180595,0.11973777039956794,0.001756284,0.0019821656960425644,0.0,0.012245424124484261,,BYPASSED_OPPONENTS,Own Box
199,BALL_WIN_ADDED_TEAMMATES_IN_LANE_CENTER,BALL_WIN_ADDED_TEAMMATES_IN_LANE_CENTER,0.0020138805788708285,Contextual (BALL_WIN_ADDED_TEAMMATES),higher,0.4172788663380512,0.10163757955916064,0.00408392,0.001105678344881402,0.0,0.007273780762936166,,BALL_WIN_ADDED_TEAMMATES,Centre
